Item,Construct,Primary_Factor,Primary_Loading,Secondary_Loading,Communality,Status
PE2,PE,F1,0.7786912176504918,0,0.6063600124460056,✓ Good
EE1,EE,F1,0.5346040701072362,0,0.2858015117752227,⚠️ Low communality (0.29)
SI1,SI,F1,0.6691603990310937,0,0.44777563963145256,✓ Good
FC1,FC,F1,0.362167500432777,0,0.13116529836972554,⚠️ Low primary (0.36); Low communality (0.13)
HM1,HM,F1,0.7635977040281684,0,0.5830814535970903,✓ Good
HM2,HM,F1,0.8243646946037602,0,0.6795771497091507,✓ Good
PV1,PV,F1,0.8197084445808064,0,0.6719219341170849,✓ Good
PV2,PV,F1,0.7958966202745762,0,0.6334514301644929,✓ Good
HB1,HB,F1,0.7484660464035826,0,0.5602014226190098,✓ Good
HB2,HB,F1,0.6907154881621381,0,0.4770878855870608,✓ Good
VO1,VO,F1,0.7714407096517557,0,0.5951207685080044,✓ Good
TR1,TR,F1,0.689451073158101,0,0.47534278227885707,✓ Good
EX1,EX,F1,0.41573528668530085,0,0.1728358285953093,⚠️ Low primary (0.42); Low communality (0.17)
ER2,ER,F1,0.3133904025053411,0,0.09821354438245972,⚠️ Low primary (0.31); Low communality (0.10)
AX2,AX,F1,0.2004112101926251,0,0.040164653170872554,⚠️ Low primary (0.20); Low communality (0.04)
