,F1,F2,Construct,Communality
PE1,0.7273767456675457,0.17161890137085165,PE,0.5585299774456476
PE2,0.8141935963231424,-0.16711105809396815,PE,0.6908373180308977
EE1,0.5644567081460398,0.1885802552323589,EE,0.3541738880345651
EE2,0.5115003401286483,0.08061068125366819,EE,0.2681306798839034
SI1,0.6726669389629172,-0.01826792284849925,SI,0.4528145277789397
SI2,0.4365027338664681,0.14766218574605433,SI,0.21233875777220293
FC1,0.38315536311190834,0.2974029396883924,FC,0.23525654081671588
FC2,0.7080325195094209,0.24916110274822453,FC,0.5633913038055699
HM1,0.7623054088081763,-0.19681590489609707,HM,0.6198460367182703
HM2,0.8247963092508204,-0.18076105126298925,HM,0.7129635094074759
PV1,0.8102724796745587,-0.036467081875227944,PV,0.6578713393784529
PV2,0.7958004510227625,-0.014897185576977395,PV,0.6335202839861471
HB1,0.6982874333424943,-0.016515724198601714,HB,0.4878781087098527
HB2,0.6475062536077989,-0.06239532674344705,HB,0.4231575252606287
VO1,0.7697971851662059,0.04841751149620365,VO,0.5949319617092989
VO2,0.18851239865065617,0.35207010811483513,VO,0.1594902854730156
TR1,0.7369753563388131,-0.19891924317669646,TR,0.5827015411567101
TR2,0.8360456785028294,-0.129744276810418,TR,0.7158059539083148
EX1,0.43750255110596914,0.09296257076158604,EX,0.20005052178683405
EX2,0.4730715325994205,0.3222278589827205,EX,0.32762746806055254
ER1,-0.16845582119871388,0.44135389682435305,ER,0.22317062593777476
ER2,-0.3595655735275164,0.5911059448535324,ER,0.4786936397073591
AX1,-0.5976347793883474,0.428111966507668,AX,0.5404471854016213
AX2,0.10457673209395484,0.3122085255920124,AX,0.10841045634778906
