Factor,Item,Loading,SE,z,p,Construct,Sig
F1,PE1,0.6377946988783476,-,-,-,PE,(fixed)
F1,PE2,0.7837457561768211,0.2650952627093538,5.147767135895532,2.6360544724823853e-07,PE,***
F1,HM2,0.7959049751272653,0.24632596801394732,5.209108733922698,1.897498946856757e-07,HM,***
F1,PV1,0.8189385279114204,0.26382243667106037,5.32339663989464,1.0184733389984046e-07,PV,***
F1,PV2,0.8140990513462171,0.2590606898219385,5.299594752187244,1.160599933935913e-07,PV,***
F1,HB1,0.8043016902868051,0.25798841898337976,5.251064120343237,1.5122302232661866e-07,HB,***
F1,HB2,0.7513088866956602,0.26546027102469477,4.980784043228362,6.332717801260657e-07,HB,***
F1,VO1,0.7874981007415234,0.26051652952921533,5.1667707811786086,2.381730559442019e-07,VO,***
F1,TR1,0.8108714229963525,0.2350152946658585,5.283657603613906,1.2662982551425728e-07,TR,***
F1,TR2,0.7007917170667893,0.22676644802943904,4.711196700494728,2.462663976077195e-06,TR,***
F2,SI1,0.7637444327374386,-,-,-,SI,(fixed)
F2,SI2,0.25092398033950536,0.15370265491936277,1.8098490974084356,0.070319191701818,SI,
F2,FC1,0.6133268576251596,0.17297699174343062,4.551503670921128,5.32638682937403e-06,FC,***
F2,FC2,0.5921893496218527,0.1327000935540381,4.38507188983127,1.1594747983734166e-05,FC,***
F2,HM1,0.8000220719215284,0.1727358714541868,6.017186139490011,1.774749680549803e-09,HM,***
F2,EX1,0.4254911082947404,0.1848026807389278,3.102834579345196,0.0019167674675599766,EX,**
F3,EE1,0.9103199138124757,-,-,-,EE,(fixed)
F3,EE2,0.6003479626803707,0.2158157221945693,2.891377676600937,0.0038355687474731504,EE,**
F3,VO2,0.05903100204144021,0.13668263348835802,0.4166889558794405,0.6769059335408931,VO,
F3,EX2,0.3417053759515569,0.14562520299822662,2.115572971243407,0.03438114265654213,EX,*
F4,ER1,0.4222390620180736,-,-,-,ER,(fixed)
F4,ER2,0.6809417459489568,0.4312469741074723,2.8419986013388265,0.00448316882632338,ER,**
F4,AX1,0.8614151449433662,0.6213825854113192,2.8797422058900795,0.003980004590984798,AX,**
F4,AX2,-0.08517441492539243,0.3323195929040495,-0.5845514703833598,0.558849347043008,AX,
