Item,Construct,Direction,Mean,SD,Skew,Kurt,ITC,Issues
PE1,PE,POSITIVE,3.628352490421456,1.184759293259575,-0.7847383878877554,-0.1561853028570641,0.7808479297120818,✓
PE2,PE,POSITIVE,3.3256704980842913,1.2330668577276291,-0.5049332785585963,-0.6740384743767978,0.7808479297120817,✓
EE1,EE,POSITIVE,3.7547892720306515,1.0233927613015776,-0.7949428978891965,0.31357903384561814,0.7178922905077051,✓
EE2,EE,POSITIVE,3.685823754789272,1.0307531747609093,-0.7628510334254616,0.134535308156142,0.7178922905077052,✓
SI1,SI,POSITIVE,3.1494252873563218,1.2012372048355675,-0.18347112896641313,-0.7747726535952579,0.6571227658852711,✓
SI2,SI,POSITIVE,3.32183908045977,1.161837929319449,-0.32513808985818904,-0.6708443154649926,0.6571227658852711,✓
FC1,FC,POSITIVE,3.2911877394636013,1.2150810859311254,-0.2371750869001462,-1.0402571793995616,0.6926348271818833,✓
FC2,FC,POSITIVE,3.4444444444444446,1.07496769977314,-0.6599396123769945,-0.05861308728723058,0.6926348271818833,✓
HM1,HM,POSITIVE,3.3026819923371646,1.2389327333285445,-0.4455845377301897,-0.7327004876258876,0.8365918986483262,✓
HM2,HM,POSITIVE,3.367816091954023,1.2132119720496781,-0.5800974698694195,-0.520868501615094,0.8365918986483261,✓
PV1,PV,POSITIVE,3.4406130268199235,1.2126409544012555,-0.5840433573505526,-0.5969679663677674,0.7425575791557592,✓
PV2,PV,POSITIVE,3.4559386973180075,1.2069403385598279,-0.5903404839316511,-0.5314489671624036,0.742557579155759,✓
HB1,HB,POSITIVE,3.0881226053639845,1.3111550692726395,-0.1845791832844697,-1.1038519325088858,0.8012310380143616,✓
HB2,HB,POSITIVE,3.0344827586206895,1.3224244273484007,-0.15426489188188242,-1.186270400424774,0.8012310380143615,✓
VO1,VO,POSITIVE,3.5019157088122603,1.2453745839730834,-0.6605677482081856,-0.5612068749502965,0.257968251378555,LOW_ITC
VO2,VO,POSITIVE,3.8659003831417627,1.0603093043105605,-0.9194164555659088,0.27119396251629535,0.257968251378555,LOW_ITC
TR1,TR,POSITIVE,3.203065134099617,1.2438116786294773,-0.379127103860903,-0.788679859858533,0.8488694730471816,✓
TR2,TR,POSITIVE,3.314176245210728,1.199739631837996,-0.4642014130768642,-0.611326355513218,0.8488694730471816,✓
EX1,EX,POSITIVE,3.3448275862068964,1.1518639029539826,-0.4452413205980256,-0.628353581436206,0.4206002611750967,✓
EX2,EX,POSITIVE,3.8812260536398466,0.9184393277202433,-0.8725684608315397,0.8898214287036685,0.4206002611750967,✓
ER1,ER,NEGATIVE,3.218390804597701,1.259657652114456,-0.13963980699809125,-1.1069984315321548,0.3814276118947449,✓
ER2,ER,NEGATIVE,3.8314176245210727,1.053533204688153,-0.8511721649103554,0.26671154758861526,0.3814276118947449,✓
AX1,AX,NEGATIVE,3.6091954022988504,1.1504813892695973,-0.5063744799988489,-0.681470530505861,0.1773639462750606,LOW_ITC
AX2,AX,POSITIVE,3.1494252873563218,1.2297160613377125,-0.10029583847797346,-1.0883293809415155,0.1773639462750606,LOW_ITC
