"PE1","PE2","EE1","EE2","SI1","SI2","FC1","FC2","HM1","HM2","PV1","PV2","HB1","HB2","VO1","VO2","TR1","TR2","EX1","EX2","ER1","ER2","AX1","AX2","BI1","BI2","BI3","BI4","Usage_MSCopilot","Usage_ChatGPT","Usage_Gemini","Usage_Other","Role","Education","Industry","Experience","Disability","Open_Feedback","AI_Adoption","Role_Category","Duration_minutes"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,4,4,4,3,4,4,4,3,"Employed - manager","Doctoral or professional degree","Manufacturing","11 or more years","No","",1,"Manager",2.41666666666667
1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,2,1,"Part time student","High school or less","Retail or Hospitality","Less than 1 year","No","",1,"PT_Student",28.6333333333333
3,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,2,3,4,4,4,1,5,2,3,"Freelancer or self employed","High school or less","Nonprofit","Less than 1 year","Yes","I enjoy ChatGPT a lot. It’s helping me study for my DMV test. I enjoy the conversation/ dialogue rather just going to Google",1,"Freelancer",7.18333333333333
4,3,4,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,2,4,3,3,3,2,2,2,2,"Other","Bachelor’s degree","Government or Public sector","4 to 6 years","No","More privacy protection",1,"Other",2.78333333333333
3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,1,1,1,1,"Freelancer or self employed","High school or less","Other","7 to 10 years","No","No feed back",0,"Freelancer",4.03333333333333
2,2,3,3,2,2,1,3,3,3,3,3,1,1,1,5,1,1,1,3,2,4,5,3,2,1,1,1,1,1,1,1,"Employed - individual contributor","High school or less","Other","11 or more years","No","No nothing to say",0,"IC",7.5
4,5,5,5,4,4,4,4,5,5,5,5,3,3,4,3,4,4,4,4,2,5,3,3,4,5,5,4,3,4,3,3,"Employed - manager","Master’s degree","Finance or Banking","4 to 6 years","No","AI tools helps alot of individuals both in school, research and also offices",1,"Manager",5.5
4,4,4,4,5,4,4,5,5,4,5,4,4,4,5,4,4,4,5,4,4,4,4,3,4,5,3,5,4,3,3,2,"Employed - manager","Master’s degree","Technology or IT","4 to 6 years","No","AI is providing more knowledge for people like me",1,"Manager",3.03333333333333
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,5,5,5,5,5,4,5,5,3,"Employed - manager","Doctoral or professional degree","Technology or IT","7 to 10 years","No","Encourage me more about it",1,"Manager",4.25
2,2,2,2,2,2,3,3,3,4,2,2,3,3,2,3,3,2,2,4,3,2,3,2,3,2,4,4,2,3,3,3,"Full time student","High school or less","Healthcare","4 to 6 years","Yes","I have no feedback but good feedback because i use it everyday for my work",1,"FT_Student",2.25
5,4,5,4,4,5,4,4,5,4,5,4,4,5,4,5,4,5,5,4,5,5,5,4,4,5,4,5,5,4,5,4,"Employed - executive or leader","Doctoral or professional degree","Finance or Banking","4 to 6 years","No","This is the one I got is a little bit of a little",1,"Executive",2.93333333333333
5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,1,4,1,1,5,5,5,5,5,5,5,4,"Employed - executive or leader","Bachelor’s degree","Technology or IT","7 to 10 years","No","AI tools are helpful because they save me time and make tasks easier.",1,"Executive",5.6
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,3,"Employed - manager","Master’s degree","Technology or IT","11 or more years","No","No, I love AI, it is the best thing that happened in our life.",1,"Manager",6
5,5,4,5,5,5,4,5,5,4,5,5,4,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,4,"Full time student","Master’s degree","Education","11 or more years","No","I love it",1,"FT_Student",2.23333333333333
3,3,2,2,2,4,2,2,4,4,3,3,2,2,1,4,4,3,4,4,5,5,5,5,2,2,5,3,1,1,1,1,"Employed - individual contributor","Some college or vocational training","Other","11 or more years","No","None",0,"IC",6.91666666666667
4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,2,2,2,4,4,4,4,3,4,3,3,"Full time student","Master’s degree","Government or Public sector","11 or more years","No","No",1,"FT_Student",4.98333333333333
4,4,2,2,4,2,2,4,4,4,4,4,4,2,4,4,2,2,2,4,4,4,4,5,4,4,4,4,1,1,1,4,"Employed - individual contributor","Master’s degree","Other","11 or more years","Yes","No",1,"IC",4.61666666666667
5,5,4,5,4,3,5,4,5,5,4,5,4,5,5,5,4,5,3,5,3,5,2,5,4,4,5,4,3,4,4,3,"Full time student","Master’s degree","Other","7 to 10 years","No","No",1,"FT_Student",4.26666666666667
2,2,4,4,2,2,4,4,2,2,2,2,2,2,2,4,2,2,4,2,4,5,5,3,2,1,1,1,3,3,2,1,"Employed - individual contributor","Some college or vocational training","Technology or IT","11 or more years","No","I have found many inconsistencies & incorrect information from AI",1,"IC",4.93333333333333
4,3,4,4,3,3,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,3,2,4,4,3,4,3,3,4,2,"Employed - individual contributor","Bachelor’s degree","Government or Public sector","11 or more years","No","Nothing",1,"IC",4.63333333333333
4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,5,2,1,"Freelancer or self employed","High school or less","Nonprofit","1 to 3 years","Yes","",1,"Freelancer",2.31666666666667
4,4,3,4,3,3,3,2,3,4,3,4,2,2,3,3,4,4,3,4,4,3,4,3,2,2,2,2,3,2,2,2,"Freelancer or self employed","Master’s degree","Education","11 or more years","No","No",1,"Freelancer",3.85
3,4,2,3,3,4,2,4,4,4,2,3,2,2,4,4,4,4,2,4,2,5,4,3,2,3,4,2,3,3,1,1,"Employed - manager","Some college or vocational training","Government or Public sector","11 or more years","No","",1,"Manager",3.96666666666667
1,5,5,5,4,4,5,4,4,5,5,5,5,4,5,5,5,5,5,4,5,4,3,5,5,5,5,4,4,5,4,4,"Employed - executive or leader","Master’s degree","Education","4 to 6 years","No","Nothing I tool are doing wonderful",1,"Executive",4.31666666666667
5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,"Employed - manager","Bachelor’s degree","Education","4 to 6 years","Yes","The call is on my desk so that you will",1,"Manager",1.81666666666667
3,2,4,4,2,2,2,3,3,2,2,1,3,2,2,4,4,3,3,4,4,5,5,5,3,3,5,3,3,3,4,1,"Full time student","High school or less","Other","11 or more years","No","Noo",1,"FT_Student",5.98333333333333
4,3,2,2,1,2,3,3,4,3,4,4,1,2,3,1,4,4,1,5,3,2,5,2,4,2,3,2,1,1,1,1,"Employed - individual contributor","Bachelor’s degree","Healthcare","11 or more years","No","No",0,"IC",4.81666666666667
4,4,5,4,3,3,4,3,3,4,4,4,2,2,4,4,2,4,4,4,1,4,2,2,4,4,4,4,3,4,3,1,"Employed - individual contributor","Some college or vocational training","Other","11 or more years","No","",1,"IC",4.28333333333333
3,4,4,3,4,2,2,2,3,4,4,4,3,2,4,4,4,4,4,4,4,3,3,4,3,3,3,3,1,1,1,2,"Employed - individual contributor","Some college or vocational training","Education","7 to 10 years","No","No",1,"IC",3.08333333333333
