"Construct","Name","Items","r_inter","Alpha","ITC_1","ITC_2","Status"
"PE","Performance Expectancy","PE1, PE2",0.732375525092581,0.845098186931847,0.732375525092581,0.732375525092581,"Good"
"EE","Effort Expectancy","EE1, EE2",0.731692838301517,0.845056275368891,0.731692838301517,0.731692838301517,"Good"
"SI","Social Influence","SI1, SI2",0.640249251200465,0.780570596740659,0.640249251200465,0.640249251200465,"Good"
"FC","Facilitating Conditions","FC1, FC2",0.658675749411679,0.790248645145028,0.658675749411679,0.658675749411679,"Good"
"HM","Hedonic Motivation","HM1, HM2",0.839701336230407,0.912760313725918,0.839701336230407,0.839701336230407,"Good"
"PV","Price Value","PV1, PV2",0.779456804086925,0.876016612871505,0.779456804086925,0.779456804086925,"Good"
"HB","Habit","HB1, HB2",0.844797738817131,0.915803365795171,0.844797738817131,0.844797738817131,"Good"
"VO","Voluntariness","VO1, VO2",0.362406459558389,0.529892842215063,0.362406459558389,0.362406459558389,"Poor"
"TR","Trust in AI","TR1, TR2",0.815141976025389,0.898120036871972,0.815141976025389,0.815141976025389,"Good"
"EX","Explainability","EX1, EX2",0.368520406973682,0.529915935672515,0.368520406973682,0.368520406973682,"Poor"
"ER","Perceived Ethical Risk","ER1, ER2",0.355267977257167,0.511695861699686,0.355267977257167,0.355267977257167,"Poor"
"AX","AI Anxiety","AX1, AX2",0.272052556980737,0.426538840089116,0.272052556980737,0.272052556980737,"Poor"
