"Factor","Eigenvalue","Strong_Items","Cross_Loadings","Constructs","Quality"
"F1",11.7525414874678,4,1,"HM, PV","RETAIN (cross-loading)"
"F2",1.63604307099333,2,1,"FC","RETAIN (cross-loading)"
"F3",1.15424393052873,2,0,"HB","RETAIN (clean)"
"F4",0.728353663461332,2,0,"EE","RETAIN (clean)"
"F5",0.582744195232202,3,0,"ER, AX","RETAIN (clean)"
"F6",0.419417402438403,1,0,"PE","CONSIDER"
"F7",0.381953406405561,1,0,"VO","CONSIDER"
"F8",0.334983066257038,1,1,"PV","CONSIDER"
"F9",0.269065136788774,1,1,"SI","CONSIDER"
"F10",0.209911685031161,1,1,"TR","CONSIDER"
"F11",0.175857550861709,1,1,"PE","CONSIDER"
"F12",0.159428586664462,1,1,"FC","CONSIDER"
