"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","Construct"
"PE1",0.111961155646235,-0.0607063502782588,0.0403285301167038,0.0492199889169414,0.00195129340153654,0.830528534682604,-0.131259027472135,0.00569003359405749,0.0489652863005263,0.0934092183036327,0.0923712405084379,0.0176757295907312,"PE"
"PE2",0.331995980678395,0.122007377871793,0.0555379882416544,-0.0704169422336926,-0.0254729547190347,0.124385001249726,-0.0181669034715081,-0.0384641013513355,-0.0774431305739827,-0.0568538054053178,0.772978954997751,-0.029042572622031,"PE"
"EE1",-0.0816596754015661,-0.0328117379178847,0.0574707240903768,1.13998827833969,0.00523363980145237,0.0446153863797727,-0.143768962504153,-0.0817889518440229,-0.0298824692018372,-0.0552484483355708,-0.052662435307478,-0.0689975381847708,"EE"
"EE2",0.0831194877542132,0.216360858667451,0.0144223745803924,0.531906604965481,-0.0772717088089576,-0.0769517372940616,0.0708466641940332,0.121345364738934,0.0118852710469144,-0.00261989385980967,-0.00410995761055677,0.0764885297088184,"EE"
"SI1",0.396461312307823,-0.0337411455947952,0.124221101560274,-0.00764224095828691,0.00453914640403408,-0.0297216964152227,0.12121286771561,-0.0149487862789898,0.593230279757447,0.0287622259470622,-0.0410589642144272,-0.038309843745536,"SI"
"SI2",0.323523312777032,0.248006796292863,-0.0319327283592118,-0.0677741208507871,-0.020042306882685,0.179476757588128,-0.00985435670635744,-0.0414425493965722,0.42622048631813,-0.094587346049999,-0.055527883122374,0.00827951570495892,"SI"
"FC1",-0.161535451745373,0.949908239106715,-0.00725680871264128,-0.0162442294309276,0.0550657288479846,0.00195351954903666,0.0111455186861399,0.0352417634409969,-0.0381948163520856,0.0115729009076996,0.0670447388802081,0.100339560020472,"FC"
"FC2",0.176096441087401,0.83678385594806,0.073925151463968,-0.045333207838265,-0.0820620448064019,-0.0143047547102016,-0.0588415742863647,0.0438677541451551,-0.0271815210199973,0.0106061025787034,-0.0357615014317284,0.500464765529481,"FC"
"HM1",1.10084046948036,-0.100423506769693,-0.0151960466944335,0.0231292027242851,-0.00418272017144079,-0.0734783723399506,-0.216920562811184,0.0285554538410317,0.0806669707130337,0.0889507843060295,-0.0982718904955973,0.0733351811946231,"HM"
"HM2",1.00738658190835,-0.0799875812701835,0.0789301016702761,-0.0983149168164801,-0.0282613932398702,-0.154601523958092,-0.0494729369833544,-0.010521089611023,-0.0126748781187334,-0.00136727453566495,0.19019532915206,-0.00505842039832541,"HM"
