Factor,Item,Academic_Lambda,Professional_Lambda,Difference
PE,PE1,0.7849638270853184,0.8737398751763775,0.0887760480910591
PE,PE2,0.8367535638622792,0.9107701847413185,0.07401662087903937
EE,EE1,0.8703732716456029,0.8527868090591578,0.01758646258644503
EE,EE2,0.7651972841634993,0.9070703661804559,0.1418730820169566
SI,SI1,0.9100831551257335,0.8883746838060411,0.021708471319692335
SI,SI2,0.5082319603947028,0.8338539584480684,0.32562199805336567
FC,FC1,0.621531506860911,0.7996917505236105,0.17816024366269956
FC,FC2,0.9183247203837486,0.8677483451076908,0.05057637527605774
HM,HM1,0.8230724019463557,0.9115101946127273,0.08843779266637164
HM,HM2,0.8996327411597519,0.930025213675765,0.03039247251601307
PV,PV1,0.8558815702943176,0.8992631030682231,0.04338153277390555
PV,PV2,0.845984478448952,0.904048941537394,0.05806446308844204
HB,HB1,0.9250876163123752,0.9135558997522292,0.011531716560146066
HB,HB2,0.8544237545015994,0.9200226157535912,0.06559886125199188
TR,TR1,0.8521291338814011,0.9289931830783862,0.07686404919698508
TR,TR2,0.8949755670126445,0.9331984067881909,0.03822283977554641
