"Factor","Item","Loading_Std","SE","z","p"
"PerfExp","PE1",0.798385819647288,0.0270693422599244,29.4940974915849,0
"PerfExp","PE2",0.842012344513928,0.0240863692439948,34.9580435301123,0
"EffortExp","EE1",0.83100350801541,0.0276117747250294,30.0959831916246,0
"EffortExp","EE2",0.90599577203736,0.0243795549694836,37.1621128101565,0
"SocialInf","SI1",0.876093965753458,0.0310815618289277,28.1869350895384,0
"SocialInf","SI2",0.688519413389431,0.0390520831993313,17.6307985895416,0
"FacilCond","FC1",0.717368511200928,0.0387480355263144,18.5136743439226,0
"FacilCond","FC2",0.829183355796718,0.0343098939684696,24.1674706590096,0
"HedonicMot","HM1",0.838613311604963,0.0219722575157631,38.1669162125618,0
"HedonicMot","HM2",0.90660161621557,0.0171028438502669,53.0088226351562,0
"PriceValue","PV1",0.888330468514399,0.017455220542599,50.891964747535,0
"PriceValue","PV2",0.889462255206726,0.0173725496647798,51.1992926985252,0
"Habit","HB1",0.904848472705312,0.0169961887099219,53.2383164336771,0
"Habit","HB2",0.920319042802958,0.0160774464494823,57.2428616506195,0
"AITrust","TR1",0.875366804419734,0.0188758376018449,46.3749912922634,0
"AITrust","TR2",0.917127135176508,0.0160798703887116,57.0357293315219,0
