"Factor_i","Factor_j","HTMT","Status"
"PerfExp","EffortExp",0.72773307015418,"OK"
"PerfExp","SocialInf",0.806930314802326,"OK"
"PerfExp","FacilCond",0.728999207508522,"OK"
"PerfExp","HedonicMot",0.899574521812326,"MARGINAL"
"PerfExp","PriceValue",0.901935779007498,"FAIL"
"PerfExp","Habit",0.829283628144712,"OK"
"PerfExp","AITrust",0.810305483292026,"OK"
"EffortExp","SocialInf",0.520348172482856,"OK"
"EffortExp","FacilCond",0.712847929084936,"OK"
"EffortExp","HedonicMot",0.607062499041736,"OK"
"EffortExp","PriceValue",0.677997735476037,"OK"
"EffortExp","Habit",0.612125672989102,"OK"
"EffortExp","AITrust",0.66300686339133,"OK"
"SocialInf","FacilCond",0.739360546437791,"OK"
"SocialInf","HedonicMot",0.782381993257727,"OK"
"SocialInf","PriceValue",0.794241270600002,"OK"
"SocialInf","Habit",0.673412362989797,"OK"
"SocialInf","AITrust",0.727190474376721,"OK"
"FacilCond","HedonicMot",0.710525487932275,"OK"
"FacilCond","PriceValue",0.670210771904247,"OK"
"FacilCond","Habit",0.647613150614689,"OK"
"FacilCond","AITrust",0.709831190006853,"OK"
"HedonicMot","PriceValue",0.90353511199299,"FAIL"
"HedonicMot","Habit",0.780451953708377,"OK"
"HedonicMot","AITrust",0.85010688639042,"MARGINAL"
"PriceValue","Habit",0.791777491105675,"OK"
"PriceValue","AITrust",0.82522873145149,"OK"
"Habit","AITrust",0.81835294817991,"OK"
