Item,Construct,Primary_Factor,Loading,Status
PE1,PE,F1,0.37767857435471464,~ Marginal
PE2,PE,F1,0.3510338020342989,~ Marginal
EE1,EE,F4,1.0394966500928964,✓ Assigned
EE2,EE,F4,0.38749450564647603,~ Marginal
SI1,SI,F8,0.7596848042684309,✓ Assigned
SI2,SI,F8,0.4206143422977999,✓ Assigned
FC1,FC,F2,0.7552051935079127,✓ Assigned
FC2,FC,F2,0.8131112938102141,✓ Assigned
HM1,HM,F1,1.0718017482226976,✓ Assigned
HM2,HM,F1,0.8354647411758683,✓ Assigned
PV1,PV,F1,0.7062252858030102,✓ Assigned
PV2,PV,F1,0.8874128976778554,✓ Assigned
HB1,HB,F6,0.7646205921270107,✓ Assigned
HB2,HB,F6,0.5653416017622672,✓ Assigned
VO1,VO,F1,0.6331959610409932,✓ Assigned
VO2,VO,F7,0.7761162734780811,✓ Assigned
TR1,TR,F5,0.7059241001807939,✓ Assigned
TR2,TR,F5,0.731091417930312,✓ Assigned
EX1,EX,F9,0.7011591868249966,✓ Assigned
EX2,EX,F1,0.2695423894398484,✗ Unassigned
ER1,ER,F3,0.8006850959278959,✓ Assigned
ER2,ER,F3,0.3722444449490781,~ Marginal
AX1,AX,F3,0.4091210565236339,✓ Assigned
AX2,AX,F3,0.5813551791887621,✓ Assigned
