Item,Construct,Direction,Mean,SD,Skew,Kurt,ITC,Issues
PE1,PE,POSITIVE,3.67578125,1.148041544219939,-0.9073863362253078,0.20405705530845974,0.6896250114442293,✓
PE2,PE,POSITIVE,3.40234375,1.1808248923826887,-0.5925598037775629,-0.43732079022393,0.6896250114442293,✓
EE1,EE,POSITIVE,3.7890625,1.045268283415184,-0.6897120444221809,-0.05248464804117736,0.6793604027000782,✓
EE2,EE,POSITIVE,3.6015625,1.0353731448224877,-0.7017268087354415,0.01480028109842646,0.6793604027000781,✓
SI1,SI,POSITIVE,3.1875,1.1289418957242965,-0.22662365833714845,-0.5960616212586825,0.6103352803474192,✓
SI2,SI,POSITIVE,3.38671875,1.0895490050079093,-0.265861546661975,-0.6247231693172535,0.6103352803474192,✓
FC1,FC,POSITIVE,3.23046875,1.1871903621080964,-0.21407301320923242,-0.963372091399652,0.6302005342725273,✓
FC2,FC,POSITIVE,3.51953125,1.013443641603164,-0.7256426993406453,0.2426889155275629,0.6302005342725273,✓
HM1,HM,POSITIVE,3.33984375,1.1638906925126806,-0.3740939460044566,-0.7009645342873552,0.7761909482235211,✓
HM2,HM,POSITIVE,3.41015625,1.164732728324989,-0.5911474962137878,-0.4170544042744013,0.7761909482235211,✓
PV1,PV,POSITIVE,3.5234375,1.171322990903708,-0.6101936743316194,-0.4567077051989279,0.7566180881246697,✓
PV2,PV,POSITIVE,3.47265625,1.1268707213114642,-0.5777883823453842,-0.4220493716458358,0.7566180881246698,✓
HB1,HB,POSITIVE,3.140625,1.2663634828074581,-0.2670838698849714,-0.9958628931531206,0.815759423316594,✓
HB2,HB,POSITIVE,3.05859375,1.271283269755716,-0.11060291648173161,-1.101942199849774,0.815759423316594,✓
VO1,VO,POSITIVE,3.5234375,1.2427978792335665,-0.7025369445775397,-0.5184184938643082,0.24573177010263395,LOW_ITC
VO2,VO,POSITIVE,3.87890625,1.068710224578041,-1.0385822554923658,0.6391414434665856,0.24573177010263395,"SKEW, LOW_ITC"
TR1,TR,POSITIVE,3.2734375,1.1561589126813618,-0.4573937287465314,-0.5160984128549377,0.8260726636678827,✓
TR2,TR,POSITIVE,3.390625,1.1113275932900448,-0.5423135478140079,-0.3351274867542089,0.8260726636678827,✓
EX1,EX,POSITIVE,3.3359375,1.1463657408369747,-0.41828694734345284,-0.6362691922698405,0.3829894628769204,✓
EX2,EX,POSITIVE,3.8203125,0.92404561257421,-0.7771702384802968,0.6652400947984436,0.38298946287692043,✓
ER1,ER,NEGATIVE,3.21875,1.2921330593778857,-0.2383134874688044,-1.0696316666788424,0.3942068401281283,✓
ER2,ER,NEGATIVE,3.7890625,1.0148106652349047,-0.7919875610647406,0.2453555514132022,0.39420684012812823,✓
AX1,AX,NEGATIVE,3.52734375,1.1543754677695794,-0.4525416180629602,-0.6938676365436085,0.23473994223763658,LOW_ITC
AX2,AX,POSITIVE,3.22265625,1.2147921532057226,-0.20986656653406702,-1.0201534912568202,0.23473994223763656,LOW_ITC
