Item,Construct,Primary_Factor,Primary_Loading,Secondary_Loading,Communality,Status
PE1,PE,F1,0.7467898154764333,0.048906865280892275,0.5600869099709286,✓ Good
EE1,EE,F1,0.6506328274238502,0.1653050002751946,0.4506488192375357,✓ Good
SI1,SI,F1,0.8299456035789579,0.032317262277975385,0.6898541103411842,✓ Good
SI2,SI,F1,0.8266982979333226,0.010532884729061475,0.6835410174665684,✓ Good
FC1,FC,F1,0.6935427366417464,0.06264302348129976,0.48492567593940145,✓ Good
FC2,FC,F1,0.7598384863012668,0.07510146707016427,0.5829947556206914,✓ Good
HM1,HM,F1,0.8825015357230406,0.05555640125957115,0.7818954742744396,✓ Good
PV2,PV,F1,0.8552230141666844,0.08103926775359878,0.7379737668783884,✓ Good
HB1,HB,F1,0.8395825115925213,0.03747232837903001,0.706302969166152,✓ Good
VO1,VO,F1,0.8315933813484198,0.13237617437946045,0.7090710034458396,✓ Good
TR1,TR,F1,0.8171078387623478,0.02320215494098493,0.6682035601607805,✓ Good
EX2,EX,F1,0.5808405167218869,0.02627972478799206,0.3380663298006811,⚠️ Low communality (0.34)
ER1,ER,F2,0.7555497474895359,0.20356131559736576,0.6122926301392317,✓ Good
ER2,ER,F2,0.63716297086385,0.29410167966015877,0.492472449418974,✓ Good
AX1,AX,F2,0.7973035637875532,0.293767753637715,0.7219924659056821,✓ Good
AX2,AX,F2,0.5393710851173572,0.34055693766420575,0.4069001952518971,⚠️ Cross-loading (0.34)
