,F1,F2,Construct,Communality
PE1,0.8419897495038591,0.018589360307628696,PE,0.7092923025862182
PE2,0.8535838880757874,-0.029681479635252136,PE,0.7294864442159164
EE1,0.736679495081592,-0.008705204506764907,EE,0.542772459059174
EE2,0.7265853730879285,0.005793413095262572,EE,0.5279598680206166
SI1,0.8081727468874158,-0.05676497525918172,SI,0.6563654512277266
SI2,0.7167946274864869,0.009739358624302002,SI,0.5138893930999042
FC1,0.6631761127698337,-0.0074435885764174365,FC,0.4398579635594021
FC2,0.7346253765269598,-0.017555190190837806,FC,0.539982628540014
HM1,0.8360406815773397,-0.032921827731394994,HM,0.7000478679934784
HM2,0.8661682429261113,-0.01960870855075095,HM,0.7506319265047352
PV1,0.8306948844762354,-0.02234601556923745,PV,0.6905533355068068
PV2,0.8644065724175936,-0.09634820042553956,PV,0.7564816981639724
HB1,0.858121251715145,-0.041390503070211554,HB,0.7380852563895723
HB2,0.8333159660417824,0.04013139661207969,HB,0.696026028254185
VO1,0.8401927754457307,-0.0016016348766574693,VO,0.7059264651454781
VO2,0.3331626221450343,0.21721295067189275,VO,0.158178798734145
TR1,0.8417129275082815,-0.07845841974053705,TR,0.7146363759627439
TR2,0.8711060024921521,-0.0433498655349023,TR,0.7607048784197514
EX1,0.7134952868453861,0.014786234659408376,EX,0.5092941570859829
EX2,0.6869681968457965,0.07755550254346252,EX,0.477940159452334
ER1,0.07085828691266857,0.6445011705330421,ER,0.4204026556426595
ER2,-0.17445377542455354,0.6406120317926187,ER,0.4408178950373477
AX1,-0.386901109401694,0.7389376241109048,AX,0.6957212807829305
AX2,0.22933986345751847,0.6071159223022217,AX,0.4211865160835905
