Factor,Eigenvalue,Variance %,Cumulative %
1,6.922007444293205,46.146716295288016,46.146716295288016
2,1.301813289885592,8.678755265903943,54.82547156119196
3,1.112759812945953,7.418398752973018,62.24387031416498
4,0.9292894747313939,6.195263164875957,68.43913347904093
5,0.8355554076938253,5.5703693846255,74.00950286366643
6,0.6843856442778213,4.562570961852141,78.57207382551857
7,0.6387790332089914,4.258526888059942,82.83060071357852
8,0.5383943873314029,3.5892959155426847,86.4198966291212
9,0.4788647257590832,3.1924315050605534,89.61232813418175
10,0.44181596071307605,2.9454397380871726,92.55776787226893
11,0.316229880908133,2.108199206054219,94.66596707832315
12,0.26649795225056694,1.7766530150037791,96.44262009332692
13,0.22004581209756094,1.4669720806504056,97.90959217397733
14,0.1830946497803039,1.220630998535359,99.13022317251269
15,0.13046652412309637,0.8697768274873088,100.0
