,F1,F2,Construct,Communality
PE1,0.7467898154764333,0.048906865280892275,PE,0.5600869099709286
EE1,0.6506328274238502,0.1653050002751946,EE,0.4506488192375357
SI1,0.8299456035789579,-0.032317262277975385,SI,0.6898541103411842
SI2,0.8266982979333226,0.010532884729061475,SI,0.6835410174665684
FC1,0.6935427366417464,0.06264302348129976,FC,0.48492567593940145
FC2,0.7598384863012668,-0.07510146707016427,FC,0.5829947556206914
HM1,0.8825015357230406,-0.05555640125957115,HM,0.7818954742744396
PV2,0.8552230141666844,-0.08103926775359878,PV,0.7379737668783884
HB1,0.8395825115925213,-0.03747232837903001,HB,0.706302969166152
VO1,0.8315933813484198,-0.13237617437946045,VO,0.7090710034458396
TR1,0.8171078387623478,-0.02320215494098493,TR,0.6682035601607805
EX2,0.5808405167218869,0.02627972478799206,EX,0.3380663298006811
ER1,0.20356131559736576,0.7555497474895359,ER,0.6122926301392317
ER2,-0.29410167966015877,0.63716297086385,ER,0.492472449418974
AX1,-0.293767753637715,0.7973035637875532,AX,0.7219924659056821
AX2,0.34055693766420575,0.5393710851173572,AX,0.4069001952518971
