,F1,F2,Construct,Communality
PE1,0.84018473677483,0.0020282587599854923,PE,0.7059145057429878
PE2,0.8297469231067575,0.10916413421251767,PE,0.7003967646034999
EE1,0.6331837997212775,-0.03053502999690054,EE,0.4018541122863864
SI1,0.7755175131743319,0.13058904281067413,SI,0.6184809113423082
SI2,0.6504387445180643,0.027205935103715734,SI,0.4238107232751033
FC1,0.5811170848997809,-0.06417557993937165,FC,0.3418155714229738
FC2,0.6860195685529739,0.063280511458875,FC,0.4746272715681052
HM1,0.8388938014671828,0.058162080480856665,HM,0.7071256377459229
HM2,0.8803785706089264,0.10606305926232566,HM,0.7863158001275001
PV1,0.7990339266402613,-0.0314061207085104,PV,0.639441560340112
PV2,0.8499571900062198,-0.05114613011232986,PV,0.7250431514687367
HB1,0.8096880003878191,0.048747898175978965,HB,0.6579710155486005
HB2,0.7848091013121107,-0.0327267280094397,HB,0.6169963642285267
VO1,0.8273680964074575,0.07348877407735138,VO,0.6899385668682918
TR1,0.7585401949581487,-0.03359833134520933,TR,0.5765120752363287
EX1,0.5200213972832936,-0.08123138107818208,EX,0.27702079090433784
EX2,0.5609349433458409,-0.0551087286626891,EX,0.3176849826412197
ER1,0.11605546215675512,0.6478464717419962,ER,0.43317392124497106
ER2,-0.18761459788048943,0.5374217978240285,ER,0.32402142611426876
AX1,-0.450295674734201,0.5551585630202317,AX,0.5109672247790179
AX2,0.1871014242001581,0.5331138741313356,AX,0.31921734572904903
