Factor,Item,Loading,SE,z,p,Construct,Sig
F1,PE1,0.8120914838763676,-,-,-,PE,(fixed)
F1,PE2,0.8480591301698155,0.08366311581121613,12.490235828953317,0.0,PE,***
F1,SI1,0.7819021377900665,0.09009739565861512,11.086351902238475,0.0,SI,***
F1,HM1,0.8729614685354998,0.08354346896377524,13.063359309560198,0.0,HM,***
F1,HM2,0.892850568530433,0.08009742950813613,13.541419643842941,0.0,HM,***
F1,PV1,0.8843604293514808,0.0819117529986371,13.335035937344138,0.0,PV,***
F1,PV2,0.8803381195513666,0.07723488824078037,13.23847262884779,0.0,PV,***
F1,HB1,0.8221009378229676,0.09623195871972202,11.920213285694052,0.0,HB,***
F1,HB2,0.8265719072021099,0.09313489510384095,12.016520631403043,0.0,HB,***
F1,VO1,0.8380190873680361,0.09320629152185424,12.266601760680565,0.0,VO,***
F1,TR2,0.8386060911794281,0.08475118209367023,12.27956456603931,0.0,TR,***
F1,EX2,0.4904390392335071,0.07232043390395869,6.214452577775405,5.150389004171529e-10,EX,***
F2,EE1,0.8128220365100552,-,-,-,EE,(fixed)
F2,EE2,0.8735304306114257,0.09093604136658621,12.235899356373526,0.0,EE,***
F2,EX1,0.7140620287248579,0.09974179207008173,9.362856562490798,0.0,EX,***
F3,ER1,0.37319590265236097,-,-,-,ER,(fixed)
F3,ER2,0.6625441873218298,0.3372698505280634,4.2308922634298805,2.3276614536049678e-05,ER,***
F3,AX1,0.9532775757095306,0.5635889742753054,4.124816783010309,3.7102999604465836e-05,AX,***
F3,AX2,0.20670472092917377,0.23477000357825398,2.1652841026441725,0.03036593504481644,AX,*
F4,SI2,0.7734271989051692,-,-,-,SI,(fixed)
F4,FC1,0.791239612781328,0.11925107073924042,9.99328028517579,0.0,FC,***
F4,FC2,0.815461276642136,0.10152561258784988,10.352406735860477,0.0,FC,***
F5,TR1,0.5261043036403164,-,-,-,TR,(fixed)
F6,VO2,0.51921265146861,-,-,-,VO,(fixed)
