Duration_minutes,PE1,PE2,EE1,EE2,SI1,SI2,FC1,FC2,HM1,HM2,PV1,PV2,HB1,HB2,VO1,VO2,TR1,TR2,EX1,EX2,ER1,ER2,AX1,AX2,BI1,BI2,BI3,BI4,Role,Education,Industry,Experience,Disability,Usage_MSCopilot,Usage_ChatGPT,Usage_Gemini,Usage_Other,AI_Adoption,AI_Adoption_Level,Primary_Tool,Experience_Level,Work_Context,Usage_Intensity,Total_Usage_Score
3.3833333333333333,4,3,4,4,3,3,2,3,3,3,4,4,4,4,3,3,4,4,2,4,2,3,3,3,3,4,4,4,Administrator,Bachelor's Degree,Technology,More than 10 years,No,1,2,3,1,1,Multiple,Gemini,Expert,Professional,Low,7
2.4166666666666665,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,4,4,4,3,IT Professional,Master's Degree,Finance,More than 10 years,No,4,4,4,3,1,Multiple,ChatGPT,Expert,Professional,High,15
28.633333333333333,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,1,1,Instructor/Teacher,High School,Government,Less than 1 year,No,1,2,2,1,1,Multiple,ChatGPT,Entry,Academic-Faculty,Low,6
5.15,2,3,2,2,4,2,2,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,Other,Some College,Government,7-10 years,No,3,3,3,1,1,Multiple,ChatGPT,Senior,Professional,Medium,10
7.183333333333334,3,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,2,3,4,4,4,Business Professional,High School,Other,Less than 1 year,Yes,1,5,2,3,1,Multiple,ChatGPT,Entry,Professional,Medium,11
5.45,4,4,5,4,4,5,5,4,4,4,5,5,5,3,4,4,4,5,5,4,5,4,5,4,5,5,3,4,Student,Bachelor's Degree,Healthcare,7-10 years,No,4,4,4,4,1,Multiple,ChatGPT,Senior,Academic-Student,High,16
2.783333333333333,4,3,4,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,2,4,3,3,3,Other,Associate's Degree,Non-profit,4-6 years,No,2,2,2,2,1,Multiple,ChatGPT,Mid,Professional,Low,8
1.8333333333333333,1,1,5,1,1,1,2,2,1,2,2,2,2,2,1,5,1,1,1,5,4,4,5,1,1,1,1,1,Other,High School,Other,1-3 years,No,1,1,1,1,0,None,None,Early,Professional,Non-User,4
4.033333333333333,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,Business Professional,High School,Education,7-10 years,No,1,1,1,1,0,None,None,Senior,Professional,Non-User,4
7.5,2,2,3,3,2,2,1,3,3,3,3,3,1,1,1,5,1,1,1,3,2,4,5,3,2,1,1,1,Administrator,High School,Education,More than 10 years,No,1,1,1,1,0,None,None,Expert,Professional,Non-User,4
1.7166666666666666,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,Researcher,Associate's Degree,Finance,7-10 years,No,5,5,4,5,1,Multiple,ChatGPT,Senior,Academic-Faculty,High,19
5.5,4,5,5,5,4,4,4,4,5,5,5,5,3,3,4,3,4,4,4,4,2,5,3,3,4,5,5,4,IT Professional,Bachelor's Degree,Retail,4-6 years,No,3,4,3,3,1,Multiple,ChatGPT,Mid,Professional,High,13
2.4166666666666665,5,4,5,4,5,4,5,4,4,5,5,4,4,5,4,5,4,5,4,4,5,4,5,4,5,5,4,5,IT Professional,Bachelor's Degree,Healthcare,7-10 years,No,4,4,5,5,1,Multiple,Gemini,Senior,Professional,High,18
2.7,3,3,4,4,2,2,3,3,2,4,3,3,2,2,2,2,3,3,4,3,5,4,4,4,3,3,3,3,Administrator,High School,Manufacturing,1-3 years,No,1,3,1,1,1,Single,ChatGPT,Early,Professional,Low,6
2.65,1,1,3,3,1,1,2,3,1,1,1,1,1,1,1,3,1,1,1,3,3,4,5,3,3,1,2,1,Administrator,Associate's Degree,Manufacturing,1-3 years,No,1,1,1,1,0,None,None,Early,Professional,Non-User,4
3.033333333333333,4,4,4,4,5,4,4,5,5,4,5,4,4,4,5,4,4,4,5,4,4,4,4,3,4,5,3,5,IT Professional,Bachelor's Degree,Healthcare,4-6 years,No,4,3,3,2,1,Multiple,MSCopilot,Mid,Professional,Medium,12
2.3,5,4,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,5,Researcher,Associate's Degree,Healthcare,7-10 years,No,4,5,5,4,1,Multiple,ChatGPT,Senior,Academic-Faculty,High,18
4.25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,5,5,5,5,5,IT Professional,Master's Degree,Healthcare,7-10 years,No,4,5,5,3,1,Multiple,ChatGPT,Senior,Professional,High,17
2.25,2,2,2,2,2,2,3,3,3,4,2,2,3,3,2,3,3,2,2,4,3,2,3,2,3,2,4,4,Student,High School,Manufacturing,4-6 years,Yes,2,3,3,3,1,Multiple,ChatGPT,Mid,Academic-Student,Medium,11
3.533333333333333,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,2,2,2,2,4,4,4,4,IT Professional,Bachelor's Degree,Manufacturing,More than 10 years,No,3,3,3,2,1,Multiple,ChatGPT,Expert,Professional,Medium,11
2.933333333333333,5,4,5,4,4,5,4,4,5,4,5,4,4,5,4,5,4,5,5,4,5,5,5,4,4,5,4,5,Researcher,Master's Degree,Retail,4-6 years,No,5,4,5,4,1,Multiple,MSCopilot,Mid,Academic-Faculty,High,18
2.2666666666666666,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,3,4,5,4,4,5,4,4,4,4,5,Healthcare Professional,Bachelor's Degree,Healthcare,More than 10 years,No,5,4,4,5,1,Multiple,MSCopilot,Expert,Professional,High,18
5.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,1,4,1,1,5,5,5,5,Researcher,Associate's Degree,Healthcare,7-10 years,No,5,5,5,4,1,Multiple,ChatGPT,Senior,Academic-Faculty,High,19
6.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,1,1,5,5,5,5,5,IT Professional,Bachelor's Degree,Healthcare,More than 10 years,No,5,5,5,3,1,Multiple,ChatGPT,Expert,Professional,High,18
2.3833333333333333,5,4,5,5,4,5,5,4,5,5,5,4,4,4,5,4,5,5,5,4,5,4,5,4,5,5,4,4,IT Professional,Bachelor's Degree,Healthcare,More than 10 years,No,5,5,5,4,1,Multiple,ChatGPT,Expert,Professional,High,19
2.2333333333333334,5,5,4,5,5,5,4,5,5,4,5,5,4,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4,Student,Bachelor's Degree,Technology,More than 10 years,No,4,5,5,4,1,Multiple,ChatGPT,Expert,Academic-Student,High,18
3.6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,Researcher,Master's Degree,Healthcare,4-6 years,No,4,4,3,3,1,Multiple,ChatGPT,Mid,Academic-Faculty,High,14
4.9,4,4,5,4,4,5,5,4,5,4,5,4,4,4,5,3,5,4,5,4,3,2,2,4,5,4,5,4,IT Professional,Bachelor's Degree,Education,4-6 years,No,5,4,5,3,1,Multiple,MSCopilot,Mid,Professional,High,17
6.916666666666667,3,3,2,2,2,4,2,2,4,4,3,3,2,2,1,4,4,3,4,4,5,5,5,5,2,2,5,3,Administrator,Some College,Education,More than 10 years,No,1,1,1,1,0,None,None,Expert,Professional,Non-User,4
6.416666666666667,4,3,3,2,3,3,2,3,3,3,2,3,1,1,1,5,3,2,1,3,2,4,4,4,3,1,3,2,Administrator,Bachelor's Degree,Technology,More than 10 years,No,1,2,2,1,1,Multiple,ChatGPT,Expert,Professional,Low,6
4.983333333333333,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,2,2,2,4,4,4,4,Student,Bachelor's Degree,Non-profit,More than 10 years,No,3,4,3,3,1,Multiple,ChatGPT,Expert,Academic-Student,High,13
1.2166666666666666,3,2,3,3,3,3,2,4,4,4,4,4,3,4,3,4,5,4,4,5,3,3,4,2,3,2,2,3,Instructor/Teacher,High School,Technology,4-6 years,Yes,4,4,3,3,1,Multiple,ChatGPT,Mid,Academic-Faculty,High,14
0.8333333333333334,5,5,5,2,5,4,5,5,4,2,5,2,4,3,4,1,5,3,4,1,3,5,4,2,3,2,5,2,Administrator,Bachelor's Degree,Manufacturing,1-3 years,No,5,3,1,2,1,Multiple,MSCopilot,Early,Professional,Medium,11
9.3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,IT Professional,Bachelor's Degree,Healthcare,4-6 years,No,5,5,5,5,1,Multiple,ChatGPT,Mid,Professional,High,20
4.616666666666666,4,4,2,2,4,2,2,4,4,4,4,4,4,2,4,4,2,2,2,4,4,4,4,5,4,4,4,4,Administrator,Bachelor's Degree,Education,More than 10 years,Yes,1,1,1,4,1,Single,Other,Expert,Professional,Low,7
4.483333333333333,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,3,4,4,4,2,2,2,2,2,Administrator,Some College,Finance,More than 10 years,No,1,1,2,1,1,Single,Gemini,Expert,Professional,Low,5
5.433333333333334,2,2,3,3,2,3,2,3,3,3,3,3,3,2,3,4,2,3,3,3,4,5,5,3,1,1,1,1,Business Professional,Associate's Degree,Education,More than 10 years,Yes,1,1,2,2,1,Multiple,Gemini,Expert,Professional,Low,6
4.266666666666667,5,5,4,5,4,3,5,4,5,5,4,5,4,5,5,5,4,5,3,5,3,5,2,5,4,4,5,4,Student,Bachelor's Degree,Education,7-10 years,No,3,4,4,3,1,Multiple,ChatGPT,Senior,Academic-Student,High,14
4.933333333333334,2,2,4,4,2,2,4,4,2,2,2,2,2,2,2,4,2,2,4,2,4,5,5,3,2,1,1,1,Administrator,Some College,Healthcare,More than 10 years,No,3,3,2,1,1,Multiple,ChatGPT,Expert,Professional,Medium,9
3.85,5,4,5,5,5,5,4,4,4,5,5,4,5,4,5,4,5,5,5,5,5,4,4,5,5,4,4,5,Student,Bachelor's Degree,Education,4-6 years,No,3,4,3,2,1,Multiple,ChatGPT,Mid,Academic-Student,Medium,12
2.8666666666666667,2,2,3,5,1,3,2,2,1,2,2,2,2,2,2,5,3,4,4,3,5,5,5,4,2,2,1,1,IT Professional,Associate's Degree,Technology,1-3 years,No,1,3,3,2,1,Multiple,ChatGPT,Early,Professional,Medium,9
4.633333333333334,4,3,4,4,3,3,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,3,2,4,4,3,4,Administrator,Associate's Degree,Non-profit,More than 10 years,No,3,3,4,2,1,Multiple,Gemini,Expert,Professional,Medium,12
4.05,2,2,3,2,1,3,3,4,1,1,1,1,1,1,1,4,1,1,2,4,4,5,5,4,2,1,1,1,Administrator,Associate's Degree,Technology,More than 10 years,Yes,1,1,1,1,0,None,None,Expert,Professional,Non-User,4
2.316666666666667,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,Business Professional,High School,Other,1-3 years,Yes,1,5,2,1,1,Multiple,ChatGPT,Early,Professional,Medium,9
10.35,5,4,4,4,5,4,3,4,5,4,2,4,3,2,4,4,3,3,4,4,4,4,4,4,4,4,4,4,IT Professional,Bachelor's Degree,Education,4-6 years,No,4,4,3,2,1,Multiple,ChatGPT,Mid,Professional,High,13
7.316666666666666,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,3,3,3,4,4,4,4,Other,Some College,Education,7-10 years,Yes,2,3,1,3,1,Multiple,ChatGPT,Senior,Professional,Medium,9
3.85,4,4,3,4,3,3,3,2,3,4,3,4,2,2,3,3,4,4,3,4,4,3,4,3,2,2,2,2,Business Professional,Bachelor's Degree,Technology,More than 10 years,No,3,2,2,2,1,Multiple,MSCopilot,Expert,Professional,Medium,9
3.966666666666667,3,4,2,3,3,4,2,4,4,4,2,3,2,2,4,4,4,4,2,4,2,5,4,3,2,3,4,2,IT Professional,Some College,Non-profit,More than 10 years,No,3,3,1,1,1,Multiple,ChatGPT,Expert,Professional,Low,8
4.316666666666666,1,5,5,5,4,4,5,4,4,5,5,5,5,4,5,5,5,5,5,4,5,4,3,5,5,5,5,4,Researcher,Bachelor's Degree,Technology,4-6 years,No,4,5,4,4,1,Multiple,ChatGPT,Mid,Academic-Faculty,High,17
3.566666666666667,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,IT Professional,Bachelor's Degree,Healthcare,7-10 years,No,5,5,4,4,1,Multiple,ChatGPT,Senior,Professional,High,18
1.8166666666666667,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,IT Professional,Associate's Degree,Technology,4-6 years,Yes,5,5,4,5,1,Multiple,ChatGPT,Mid,Professional,High,19
