Construct,Item,Loading,SE,z,p-value
PE1,PE,1.0,-,-,-
PE2,PE,1.0841459964760487,0.06847227327798559,15.833357716323656,0.0
EE1,EE,1.0,-,-,-
EE2,EE,0.9675627037695242,0.08341168517584631,11.599846013398892,0.0
SI1,SI,1.0,-,-,-
SI2,SI,0.8165838332068905,0.06041861435876797,13.51543463649249,0.0
FC1,FC,1.0,-,-,-
FC2,FC,0.9418161046786007,0.07052334342439746,13.354671785731387,0.0
HM1,HM,1.0,-,-,-
HM2,HM,0.9911093268773404,0.05228746257902862,18.955009059014813,0.0
PV1,PV,1.0,-,-,-
PV2,PV,0.977877605095899,0.05610569469236168,17.429204119837763,0.0
HB1,HB,1.0,-,-,-
HB2,HB,0.9864059451833856,0.05293762118480315,18.633363628510015,0.0
VO1,VO,1.0,-,-,-
VO2,VO,0.25378941808747535,0.06830545014476634,3.7155075846199592,0.00020279618173324465
TR1,TR,1.0,-,-,-
TR2,TR,1.0014505275662462,0.046512398256850114,21.530829737364204,0.0
EX1,EX,1.0,-,-,-
EX2,EX,0.6327256019663483,0.08467754591321067,7.472176893357081,7.882583474838611e-14
ER1,ER,1.0,-,-,-
ER2,ER,1.154230511766058,0.175511809213397,6.576369515717908,4.820743804145877e-11
AX1,AX,1.0,-,-,-
AX2,AX,0.24158206877443597,0.09597718867226336,2.517077986070811,0.011833263383790538
BI1,BI,1.0,-,-,-
BI2,BI,1.070400106599517,0.05341463489352251,20.039453769799763,0.0
BI3,BI,1.0014580064773186,0.05708366649249864,17.543687502823186,0.0
BI4,BI,1.0608398229783411,0.05440948639357022,19.497332051349918,0.0
