,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
PE1,0.16528265507695877,0.01231056631324426,-0.11587010213808102,0.041844135058150426,0.07644242444018415,0.14396824446260567,-0.15070061041188212,0.07647372573950219,0.036699028843103845,0.06577435212898658,-0.0011554216448747521,0.66868916608233,-0.004153117996166088
PE2,0.6436662692734815,0.03907283023204059,-0.11013901017198914,0.08627985927159063,-0.04428343205446734,0.08773762275119326,-0.05434381400815729,0.08223350692294841,0.10328967580331459,0.021997481379219818,-0.09139525523612799,0.2688613245275125,-0.10815443230384492
EE1,0.06448022873018566,-0.042074366713594956,0.04869155565194471,0.020361831520486446,0.6641160503374096,0.02018888601793091,0.16435852647603275,-0.0369711874022265,-0.08805680325669146,0.12981226825672515,0.012292117127391406,0.164438459461387,-0.2044936239347375
EE2,-0.08311428867092788,0.12648656712235923,-0.09390693798496225,-0.006576262979786378,0.894836054347846,-0.04059005480085289,0.1369318723586964,0.013261173355770475,0.14551140122114575,-0.01214808599538794,-0.11280480902192973,-0.027816351517528027,0.27897130184110813
SI1,0.421728522441205,0.05532225814126385,0.018624752707552077,0.20462516434431102,-0.14291572644269376,0.25976936501948145,0.14576161875892688,-0.17113936147955253,0.03693788341980573,-0.017752677174654417,-0.07438256969095336,0.21543459359227055,0.0389369065802261
SI2,-0.016604639982797684,0.03799999964734955,0.042699511231439,-0.07672250616532567,-0.012426259822464815,0.9302309103346283,0.04060434279887893,0.05673326660611454,-0.0011954477878130115,0.005125865912462991,0.04235948518563171,0.14004311827960447,0.05548075980164868
FC1,0.0684582591214483,-0.040895975260821955,-0.0024210849157550868,0.7465819180150369,0.08427300870487102,0.21052676091016675,0.07437927357072208,0.01354608046916845,-0.045001278955457774,-0.052634508489273514,0.06898585800418945,-0.1629860677522548,0.023090311858142257
FC2,0.018306649754595592,-0.003114218307604452,-0.012462574915359957,0.9735842627242207,-0.03491700652349444,-0.19180932289606456,-0.01024875515886587,0.0606818280363443,0.025894302975809694,0.03029170155904842,-0.11896247765189567,0.06078678421575881,0.040754359556823834
HM1,0.5952378115307115,0.12152611439118695,-0.059334200312822265,0.0020561768461919176,-0.12324808739367624,-0.10092061263498203,0.3292061727401255,-0.037345055667292223,-0.05359154267156049,0.04350192477389441,-0.06960077346641666,0.20567655018873393,0.1247018565604519
HM2,0.6963043585718165,0.07091398121819305,-0.023133699762076458,-0.0815247938345007,-0.05389875683273916,-0.07518714646746011,0.26102642634984774,0.11291721666174517,0.009499729055715434,0.10355981113938263,-0.043872058506699854,-0.034758670400335125,0.14354534349673065
PV1,0.43502235748503804,-0.08624343382831241,0.00912067411550387,-0.16043150248677002,0.019930943496955966,0.0279781687361318,0.1255127286274148,-0.023464165453392534,0.013016993144317097,0.06256593660314623,0.02090057622772406,0.5775329221226514,-0.12761423983647888
PV2,0.52943487546217,-0.1164950415472706,0.0895699241807514,-0.060844257920100446,-0.012114653624939393,-0.08955888001800778,0.02990192185049376,0.0927484801114703,0.05505029913836083,-0.11316941444900293,0.005904548110442877,0.42866944628367737,0.12051120120046918
HB1,0.256409284550863,-0.05309339658288329,0.007835929566036006,-0.002660428599087461,0.20022603436576863,0.022880510449713037,-0.07747172474547645,-0.015735248891580934,0.028292048471756155,0.5688692094761614,-0.06796950735846598,0.1716865533065643,-0.05355802961736627
HB2,0.19284555704151227,0.013289841792058787,0.019512241200732975,-0.003115834034026906,0.03171445294213404,-0.007572892589279679,-0.09920638892313598,0.0004206013003870585,-0.08549546205764398,0.779335016443043,0.008741181597325934,-0.02539927553037717,0.2802252764458211
VO1,0.5178837395006876,0.040230147685454236,0.11414612682175738,0.08326328898967261,0.1433216429730395,-0.06706760180101602,-0.21752927071101966,-0.023515531398204968,-0.1316642863864301,-0.13564997625267655,0.10243618114753981,0.5076875409952288,0.12034144455173136
VO2,-0.0327006676834587,0.04267423402509989,0.9969299879499446,-0.014871592239565147,-0.046846645763048866,0.047727269190395986,0.05688939026902282,0.025110346050920114,0.061828292006066744,0.02529229933340054,-0.11423605234393353,-0.08426113715377904,0.05607419819705335
TR1,0.2597469914171329,-0.055020381241419364,0.0030211080210853307,0.13605213396380247,-0.024944493103755447,0.009792052428313746,0.0045293827716618995,-0.08842298629810615,0.0588408253747282,0.19861862949746725,0.10865007284408677,0.015230956705357594,0.5546411955882293
TR2,0.3222853514831938,-0.008754274679693133,0.08956366627405196,0.022909412529892148,0.04266643997133431,0.01147557612280687,-0.07254309004827317,0.02805993373237825,-0.026098897418830803,0.1862923565318673,0.15034292974290475,-0.023444791020751938,0.6292231720814225
EX1,0.09527310585051353,-0.07086535655611775,0.049640674517074136,0.04054943944799845,0.23738644562676223,0.05241225239003617,0.9026731979114752,0.021471736364403162,-0.046064631574798384,-0.11588615541570373,0.08536329465715708,-0.14301981581347148,-0.07005777727751158
EX2,0.03196700564969348,0.031095421385047246,0.02790759939102483,0.07436318621040222,-0.01796730164520344,0.05889637336617924,0.027568230995037718,0.9047889175659415,-0.031559276634035856,-0.008556802645476798,0.013534096003549026,0.09351167752038708,-0.03066121191544207
ER1,0.0006657350593716795,0.05374910520651885,-0.10433213380667475,-0.07300762300393131,-0.08420530558438183,0.044358125994285194,0.0876651386763763,0.011432012173131896,0.05164984345914724,-0.016376697559314108,0.970693397139291,0.039130004070575305,0.13536880093000878
ER2,0.10183430919237059,0.9850890485702773,0.02208579228233032,-0.05772678105920345,0.08784929032179348,0.07495965500237418,-0.07902946289657228,0.030871802341176882,-0.04024643075063065,-0.03696779504600519,0.00939894998152104,-0.06338986838647698,-0.0568995728974741
AX1,-0.21955474483323564,0.3829836867599971,0.076061518642914,0.11715029839532591,-0.051436896146705706,-0.15151786042844712,0.04527500437088067,-0.018243128161570407,0.07435463550623046,0.11280381549670825,0.22495860178174884,0.04515907731841121,-0.45115973127011205
AX2,0.07371190520538116,-0.02509210614695992,0.062277365401435525,-0.003998493993151381,0.06326067155361347,-0.0004524614218846214,-0.06400651051034896,-0.028994903953854432,0.9843928575258826,-0.07782468582423757,0.06055200640422129,0.02310886000541429,-0.0006924565096067466
BI1,0.8597565874704679,-0.09578319784328165,-0.015536218909642843,0.07307832639554304,0.0839046719351081,-0.11368985587299583,0.04051618308905397,0.002611508319611254,0.010671915342659,-0.06273854496764734,0.12960712026163407,0.03628189891962802,-0.032865960039765746
BI2,0.8251422529276228,0.03617204270622232,0.025420127665816545,-0.011999115333541189,0.11760131512761278,0.0158943766561954,-0.02190364421626912,-0.07012293773778465,-0.05236913168498245,-0.05954266243888894,0.024998457384925933,0.08460646623985134,0.10691271335278262
BI3,1.195138544512544,0.11626531118223297,-0.028045027539935413,-0.04379287438953303,-0.017432550033312916,0.0010395131428391697,-0.11619545497476648,-0.05367289736543694,0.00480410767847046,-0.02460715659503415,-0.09692609994339103,-0.14314547251431448,-0.06103327520553364
BI4,0.9240487180841405,-0.0948088516946886,0.01396929510208927,-0.005816348519124175,-0.07475586806350892,0.03893506524115194,0.0005094010883123017,0.07402954829335993,0.05807175152304668,0.1367488396495141,0.044184313523777365,-0.2509683717573411,0.021065558560055254
