,PE,EE,SI,FC,HM,PV,HB,VO,TR,EX,ER,AX,BI
PE,,0.5918599054705234,0.8945567251285098,0.8122980826363516,0.9199399154218917,0.8671795904879769,0.9387370011147164,0.9257682034700947,0.8608850657671259,0.6613911390355978,-0.13831284381791983,-0.474153155824945,0.9112698405610102
EE,0.5918599054705234,,0.6008950059677893,0.6663728837213274,0.642444935014848,0.6479071878875968,0.7725293994447687,0.682289470243488,0.6226958191453736,0.6549596299266573,-0.09932291162955828,-0.2728781287157238,0.6284331060384327
SI,0.8945567251285098,0.6008950059677893,,0.9198640161158896,0.9643812819951284,0.8730527748230426,1.0001452955932122,0.9476802004926139,0.9431331185778803,0.7016753744732538,-0.10532733693714395,-0.501691294939966,0.9663937007450758
FC,0.8122980826363516,0.6663728837213274,0.9198640161158896,,0.8126562085685936,0.7845703036583407,0.9453555421718621,0.9017599958606388,0.8702700750583456,0.7437238662503222,-0.11017410700433367,-0.36135318278175105,0.854464498456812
HM,0.9199399154218917,0.642444935014848,0.9643812819951284,0.8126562085685936,,0.9672131233362349,1.0567140124178827,0.976432317692154,1.0088365117865747,0.7900238763813232,-0.14310612751667778,-0.5393570941808399,1.0203837210267337
PV,0.8671795904879769,0.6479071878875968,0.8730527748230426,0.7845703036583407,0.9672131233362349,,0.9967680566828203,1.0675139657700798,0.9356415755307296,0.7179328209409854,-0.22382701956945683,-0.5004831797439883,0.9435802516126627
HB,0.9387370011147164,0.7725293994447687,1.0001452955932122,0.9453555421718621,1.0567140124178827,0.9967680566828203,,1.082584386302518,1.071044412785674,0.804540964406891,-0.19347507485281795,-0.4962124350905839,1.0331517793731229
VO,0.9257682034700947,0.682289470243488,0.9476802004926139,0.9017599958606388,0.976432317692154,1.0675139657700798,1.082584386302518,,1.0135685566343375,0.7734946749777645,-0.15966831973326165,-0.540703509221234,1.0249776717406693
TR,0.8608850657671259,0.6226958191453736,0.9431331185778803,0.8702700750583456,1.0088365117865747,0.9356415755307296,1.071044412785674,1.0135685566343375,,0.7126265924210121,-0.20102970172657925,-0.608918278088435,1.0173105672141716
EX,0.6613911390355978,0.6549596299266573,0.7016753744732538,0.7437238662503222,0.7900238763813232,0.7179328209409854,0.804540964406891,0.7734946749777645,0.7126265924210121,,-0.040132609301325256,-0.28520466206687317,0.727200534908279
ER,-0.13831284381791983,-0.09932291162955828,-0.10532733693714395,-0.11017410700433367,-0.14310612751667778,-0.22382701956945683,-0.19347507485281795,-0.15966831973326165,-0.20102970172657925,-0.040132609301325256,,0.6277263820599265,-0.17762146903453657
AX,-0.474153155824945,-0.2728781287157238,-0.501691294939966,-0.36135318278175105,-0.5393570941808399,-0.5004831797439883,-0.4962124350905839,-0.540703509221234,-0.608918278088435,-0.28520466206687317,0.6277263820599265,,-0.5584682317591981
BI,0.9112698405610102,0.6284331060384327,0.9663937007450758,0.854464498456812,1.0203837210267337,0.9435802516126627,1.0331517793731229,1.0249776717406693,1.0173105672141716,0.727200534908279,-0.17762146903453657,-0.5584682317591981,
