role,predictor,n,r_squared,beta,se,t_value,p_value,ci_lower,ci_upper,significant
Employed - executive or leader,PE,53,0.9198093913838288,0.14343705495234227,0.07886926085247253,1.8186686853912053,0.07547582551007403,-0.021591184911298526,0.37372048317859696,False
Employed - executive or leader,EE,53,0.9198093913838288,-0.10771579160706313,0.08973441501439991,-1.2003843964411838,0.23613549693020208,,,False
Employed - executive or leader,SI,53,0.9198093913838288,0.04930773108178243,0.08278860046564229,0.5955859961933455,0.5543710130710078,,,False
Employed - executive or leader,FC,53,0.9198093913838288,0.20420299558150198,0.08977417731005494,2.2746295393634393,0.02763706208278638,-0.01460753379272989,0.3748146997702087,True
Employed - executive or leader,HM,53,0.9198093913838288,0.34616943697079566,0.10661652406717165,3.2468647801038646,0.002180507809966592,0.11132176572877941,0.6097460622519517,True
Employed - executive or leader,PV,53,0.9198093913838288,0.5264881217195863,0.088601107400016,5.942229585716117,3.534482684308671e-07,0.3022782902154216,0.7323617408239873,True
Employed - individual contributor,PE,106,0.7631120242354691,0.18113780839296237,0.10506666231288936,1.7240274355868708,0.08782421260839612,-0.02055527813665789,0.41148003907691333,False
Employed - individual contributor,EE,106,0.7631120242354691,-0.01726958689389374,0.07704559542406866,-0.22414762062438168,0.8231043760186889,,,False
Employed - individual contributor,SI,106,0.7631120242354691,0.25658192530300605,0.07851368555784022,3.267989822156353,0.0014896312093626296,0.002008175636630765,0.465364988844283,True
Employed - individual contributor,FC,106,0.7631120242354691,0.13301876196619683,0.07172805485869266,1.8544872327605912,0.06664599999649101,-0.06713882401685607,0.30249556779911846,False
Employed - individual contributor,HM,106,0.7631120242354691,0.3418763953299021,0.106355901825317,3.214456268646125,0.0017649546342717315,0.10084281822714912,0.5803944005046139,True
Employed - individual contributor,PV,106,0.7631120242354691,0.1470363659289976,0.1129056745769078,1.3022938526339618,0.19583756690560006,,,False
Employed - manager,PE,71,0.8493040532764768,0.0449410754014166,0.09996424129939163,0.4495715149462161,0.654538355832587,,,False
Employed - manager,EE,71,0.8493040532764768,-0.027302339627539363,0.07961025783538866,-0.34295002139036934,0.7327599818684083,,,False
Employed - manager,SI,71,0.8493040532764768,0.2534585117944726,0.0960827819462186,2.637918122898893,0.010460650477995381,-0.08616660826237697,0.5650786090901513,True
Employed - manager,FC,71,0.8493040532764768,0.07571816451787299,0.08014374857342658,0.9447794227955417,0.34832475051357736,,,False
Employed - manager,HM,71,0.8493040532764768,0.18758071374176138,0.09843504515472923,1.9056293766808845,0.06119207380081204,-0.0417277995254443,0.4378755426957245,False
Employed - manager,PV,71,0.8493040532764768,0.44741424893934395,0.11500295679193384,3.89045865793535,0.00024084835617133038,0.21151533126794572,0.7196835853379256,True
Freelancer or self employed,PE,30,0.7947377679533509,0.2647678571858172,0.2688634902637912,0.9847668678482316,0.3349853281587163,,,False
Freelancer or self employed,EE,30,0.7947377679533509,0.17692326441644202,0.1922768427727813,0.9201485829758345,0.367045814184054,,,False
Freelancer or self employed,SI,30,0.7947377679533509,0.3043426720437473,0.1968440242301473,1.5461108013516027,0.13572773930145487,,,False
Freelancer or self employed,FC,30,0.7947377679533509,-0.020460435126192156,0.18070134814517716,-0.11322790524924059,0.9108323911337506,,,False
Freelancer or self employed,HM,30,0.7947377679533509,-0.007851590323162166,0.25920091205125845,-0.03029152274591329,0.9760958800103612,,,False
Freelancer or self employed,PV,30,0.7947377679533509,0.41860787776942215,0.24721663983590078,1.6932835833675624,0.10390432956606221,,,False
Full time student,PE,164,0.7183656866716388,0.07946216745395969,0.06847657058105555,1.1604285492057538,0.24763587748955795,,,False
Full time student,EE,164,0.7183656866716388,0.03131323015046755,0.06546709783863566,0.47830484601057005,0.6330986091571393,,,False
Full time student,SI,164,0.7183656866716388,0.054104418850032684,0.061384914756185696,0.8813960085296141,0.37945086827064856,,,False
Full time student,FC,164,0.7183656866716388,0.0830729260399907,0.060164192024457316,1.3807702429747708,0.1693120525521914,,,False
Full time student,HM,164,0.7183656866716388,0.381366306300611,0.059542604585301515,6.404931543669049,1.6640504529874534e-09,0.2364431061665411,0.5170147556733706,True
Full time student,PV,164,0.7183656866716388,0.3487236941331882,0.06632666802360968,5.257669419019456,4.702314924109885e-07,0.20406101245483702,0.5057874422327722,True
Not currently employed,PE,14,0.8691882141672259,1.3068042217499012,0.4915013697436258,2.658800772888078,0.032523663107477896,-0.9484329731541424,3.1094602091341206,True
Not currently employed,EE,14,0.8691882141672259,0.6298012667430146,0.39210929691303364,1.606188049355787,0.1522677640501804,,,False
Not currently employed,SI,14,0.8691882141672259,-0.18882124810015777,0.2533503363607377,-0.7452970097158309,0.48036305495678366,,,False
Not currently employed,FC,14,0.8691882141672259,-0.04100883528723189,0.2602242581303645,-0.15759036295028153,0.8792290742896465,,,False
Not currently employed,HM,14,0.8691882141672259,0.3018249880694628,0.2937819738322963,1.0273774940383436,0.33842857926524816,,,False
Not currently employed,PV,14,0.8691882141672259,-0.969387332867178,0.6940141202855178,-1.3967832995506944,0.20516557215425735,,,False
Other,PE,22,0.8218084785197596,0.17935440640663,0.26519690548311786,0.6763065582529865,0.5091406426774707,,,False
Other,EE,22,0.8218084785197596,0.15966021972182382,0.20719280665975234,0.7705876584027093,0.45291850902888475,,,False
Other,SI,22,0.8218084785197596,-0.10338466342317995,0.32543709445119706,-0.3176794077439861,0.7551075112668237,,,False
Other,FC,22,0.8218084785197596,-0.03851273316156523,0.21602824449086874,-0.17827637887041717,0.8608913333125177,,,False
Other,HM,22,0.8218084785197596,0.3022554939026063,0.33143381425706386,0.9119633570887655,0.3762121122479225,,,False
Other,PV,22,0.8218084785197596,0.4323355195239188,0.30201302424156184,1.431512831639075,0.17278915645463533,,,False
Part time student,PE,12,0.9287119383823756,0.44432519619356553,0.26269696817022997,1.6913982650368422,0.15154804968120072,,,False
Part time student,EE,12,0.9287119383823756,-0.5944738323651741,0.7590492972756215,-0.7831821128072427,0.4689739590629567,,,False
Part time student,SI,12,0.9287119383823756,0.3751594622021595,0.2646209632820609,1.4177238928809848,0.21546805079838194,,,False
Part time student,FC,12,0.9287119383823756,0.10952312205378742,0.45760183292942275,0.2393415283165605,0.8203423161828445,,,False
Part time student,HM,12,0.9287119383823756,-0.8910131625031442,0.9055840165818906,-0.9839099919919703,0.37034373906316453,,,False
Part time student,PV,12,0.9287119383823756,0.9849809905886506,0.8069815854679098,1.2205743084181184,0.2766643468915171,,,False
