usage_level,predictor,n,r_squared,beta,se,t_value,p_value,ci_lower,ci_upper,significant
High,PE,163,0.764967504008655,0.11914430700533717,0.058183705012167956,2.0477263690997423,0.04226384796208982,-0.04044751527946774,0.28603656954562395,True
High,EE,163,0.764967504008655,0.029542554342011584,0.055286749370381846,0.5343514436722896,0.5938591104637854,,,False
High,SI,163,0.764967504008655,0.12461845253811418,0.057652521858322,2.161543823605104,0.03217826298030513,-0.04810130784290121,0.2702856964762454,True
High,FC,163,0.764967504008655,0.061613167195223924,0.05541661604853998,1.1118175664363252,0.2679271064637778,,,False
High,HM,163,0.764967504008655,0.38973604568581605,0.07711426963534412,5.054006833349902,1.1979241714143996e-06,0.20922667233664607,0.5741596092326161,True
High,PV,163,0.764967504008655,0.31660992197776916,0.06672495024516646,4.745000495533592,4.677812059927788e-06,0.16279742365767808,0.4658465943625356,True
Low,PE,115,0.7309834211660088,0.24500278104714018,0.09478789244701366,2.5847476373007923,0.01107880930006866,0.04773595655479029,0.46168848956427044,True
Low,EE,115,0.7309834211660088,0.05209103611284249,0.0729270014816944,0.7142901127769253,0.4765887938708244,,,False
Low,SI,115,0.7309834211660088,0.12758704385803812,0.07945037101523347,1.605870963567623,0.1112223501470544,,,False
Low,FC,115,0.7309834211660088,0.02201868099216101,0.07580414176598188,0.2904680467214548,0.7720152113402408,,,False
Low,HM,115,0.7309834211660088,0.11897056327145036,0.09446469794974613,1.259418236162053,0.21059434795672205,,,False
Low,PV,115,0.7309834211660088,0.3908439003430695,0.09678314380439144,4.038346813087666,0.00010093978011727067,0.2080335100831865,0.5676113836957108,True
