Outcome,Predictor,Beta,SE,z,p-value,Sig
BI,PE,6.148282385397584,1070.584259139121,0.005742922458379446,0.9954178360240975,ns
BI,EE,1.9290241909163615,365.3840455101821,0.00527944286188763,0.995787633619077,ns
BI,SI,0.10884332524966232,10.602610566408295,0.010265709993583538,0.9918092923533761,ns
BI,FC,0.17565641860591466,35.54317730293085,0.004942057292987852,0.9960568248386341,ns
BI,HM,-2.8268533625066112,575.8478470599832,-0.004909028273595589,0.9960831778635877,ns
BI,PV,4.1052223097580836,745.2003399321061,0.005508884107771741,0.995604568655116,ns
BI,HB,-0.7189145822552656,133.668922406413,-0.0053783225697701074,0.9957087401469895,ns
BI,VO,-6.86348374215262,1288.345597168159,-0.005327362283256028,0.9957493999902929,ns
BI,TR,2.767382247842659,482.9008004767419,0.005730746863766981,0.9954275505831967,ns
BI,EX,-1.772047446495896,332.3856605891109,-0.005331299320660115,0.995746258733542,ns
BI,ER,-4.143947648033892,792.4324082210267,-0.005229402034852226,0.9958275598712092,ns
BI,AX,3.2276118184994917,619.516200824085,0.0052098909022977825,0.9958431272905717,ns
PE1,PE,1.0,-,-,,ns
PE2,PE,1.14495775231254,0.07384492897707487,15.504893405104184,0.0,***
EE1,EE,1.0,-,-,,ns
EE2,EE,0.9569519808214744,0.0791057587989746,12.097121566600553,0.0,***
SI1,SI,1.0,-,-,,ns
SI2,SI,0.7560885177676899,0.061532148387354005,12.287698992658486,0.0,***
FC1,FC,1.0,-,-,,ns
FC2,FC,0.9361372337727344,0.0698981502501478,13.392875639900957,0.0,***
HM1,HM,1.0,-,-,,ns
HM2,HM,0.991340819741939,0.050874727608876034,19.48591896833066,0.0,***
PV1,PV,1.0,-,-,,ns
PV2,PV,0.9796659849291816,0.05311941669406249,18.44270976379608,0.0,***
HB1,HB,1.0,-,-,,ns
HB2,HB,0.9652881826359371,0.05258304254679734,18.357404514173975,0.0,***
VO1,VO,1.0,-,-,,ns
VO2,VO,0.22222063849586635,0.06780651439738593,3.2772756492133754,0.001048139893683686,**
TR1,TR,1.0,-,-,,ns
TR2,TR,0.9760306589320079,0.045284881683577145,21.55312374956295,0.0,***
EX1,EX,1.0,-,-,,ns
EX2,EX,0.6541978883558751,0.08632730388732944,7.578110967094802,3.5083047578154947e-14,***
ER1,ER,1.0,-,-,,ns
ER2,ER,1.1406183190504127,0.1677890458802553,6.79793077706414,1.0613288026206646e-11,***
AX1,AX,1.0,-,-,,ns
AX2,AX,0.24739263242831186,0.0922503769031164,2.68175199636797,0.007323773173909531,**
