Construct,Items,Alpha,CI_lower,CI_upper,Interpretation
PE,2,0.847330987986451,0.798,0.884,Good
EE,2,0.7806061323196616,0.71,0.834,Acceptable
SI,2,0.8243757199052455,0.768,0.867,Good
FC,2,0.8120813850625559,0.752,0.858,Good
HM,2,0.8874586538078326,0.851,0.915,Good
PV,2,0.8672804158223946,0.825,0.899,Good
HB,2,0.8943238578087611,0.86,0.92,Good
VO,2,0.4093224805293667,0.22,0.553,Poor
TR,2,0.9204386913176448,0.895,0.94,Excellent
EX,2,0.5112533760128037,0.355,0.63,Poor
ER,2,0.5023114156741173,0.343,0.623,Poor
AX,2,0.3627488458258594,0.159,0.517,Poor
BI,4,0.9361561571772411,0.92,0.949,Excellent
